source,series,author,english_title,original_title,translator,pub_year,place,publisher,country,original_year,era,canonical_author,canonical_work
UNESCO Index Translationum,,"Bettoni, Efrem",Duns Scotus: the basic principles of his philosophy,Duns Scoto,"Bonansea, Bernardine",1978,"Westport, CONN",Greenwood Press,United States of America,1960,modern,Efrem Bettoni,Duns Scotus: The Basic Principles
UNESCO Index Translationum,,"Aconcio, Giacomo",Darkness discovered: Satans stratagems,Satanae stratagemata (books 1-4),,1978,"Delmar, N.Y.",Scholars' Facsimiles &amp; Reprints,United States of America,1565,renaissance,Giacomo Aconcio,Darkness Discovered
UNESCO Index Translationum,,Catholica Romana Ecclesia,"Dogmatic canons and decrees: authotized translations of the dogmatic decrees of the Council of Trent, the Decree on the Immaculate Conception, the Syllabus of Pope Pius IX...",,,1977,"Rockford, ILL",TAN Books and Publishers,United States of America,1855,modern,Catholic Church,Council of Trent Decrees
UNESCO Index Translationum,,Guillaume de Saint-Thierry,The mirror of faith,Speculum fidei,"Davis, Thomas X.",1979,"Kalamazoo, MICH",Cistercian Publications,United States of America,1140,medieval,William of Saint-Thierry,Speculum Fidei
UNESCO Index Translationum,,,The Goliard poets: medieval Latin songs and satires,,"Whicher, George F.",1979,"Westport, CONN",Greenwood Press,United States of America,1250,medieval,Anonymous,Goliard Poems
UNESCO Index Translationum,,"Hilton, Walter",The stairway of perfection,,"Mastro, M. del",1979,"Garden City, N.Y.",Image Books,United States of America,1494,medieval,Walter Hilton,Scala Perfectionis
UNESCO Index Translationum,,"Horatius Flaccus, Quintus","The poems of Horace: consisting of odes, satyres, and epistles",,,1978,New York,AMS Press,United States of America,-23,classical,Horace,"Odes, Satires, Epistles"
UNESCO Index Translationum,,Innocentius III,De miseria condicionis humane,De contemptu mundi,,1978,"Athens, OHIO",University of Georgia Press,United States of America,1195,medieval,Pope Innocent III,De Miseria Condicionis Humanae
UNESCO Index Translationum,,Isaac of Stella,Sermons on the Christian year,,"McCaffrey, Hugh",1979,"Kalamazoo, MICH",Cistercian Publications,United States of America,1180,medieval,Isaac of Stella,Sermons on the Christian Year
UNESCO Index Translationum,,Isaac of Stella,Sermons on the liturgical year,,"McCaffrey, Hugh",1978,"Kalamazoo, MICH",Cistercian Publications,United States of America,1180,medieval,Isaac of Stella,Sermons on the Liturgical Year
UNESCO Index Translationum,,Johannes de Garlandia,Concerning measured music,De mensurabili musica,"Birnbaum, Stanley H.",1978,"Colorado Springs, COLO",Colorado College Music Press,United States of America,1300,medieval,Johannes de Garlandia,De Mensurabili Musica
UNESCO Index Translationum,,Joannes Paulus I,Illustrissimi: letters from Pope John Paul I,Illustrissimi,"Weaver, William",1978,"Boston, MASS","Little, Brown",United States of America,1978,modern,Pope John Paul I,Illustrissimi
UNESCO Index Translationum,,"Juvenalis, Decimus Junius; Persius Flaccus, Aulus",The satyrs of Decimus Junius Juvenalis and of Aulus Persius Flaccus,,"Dryden, John; et al.",1979,New York,AMS Press,United States of America,120,classical,Juvenal and Persius,Satires
UNESCO Index Translationum,,"Aretinus, Guido; Cotton, Joannes; Hucbald, of Saint Amand","Hucbald, Guido and John on music: three medieval treatises",Micrologus; De harmonica institutione; De musica,"Babb, Warren",1978,"New Haven, CONN",Yale University Press,United States of America,1100,medieval,"Hucbald, Guido of Arezzo, John Cotton",Treatises on Music
UNESCO Index Translationum,,Inquisition. Pamiers,"Le registre d'inquisition de Jacques Fournier, Évêque de Pamiers, 1318-1325",,"Duvernoy, Jean",1978,New York,Mouton,United States of America,1318,medieval,Jacques Fournier,Inquisition Register of Pamiers
UNESCO Index Translationum,,"Augustus, Meyer; Reinhold",The Golden age of Augustus,,"Alessi, Paul T.; Reinhold, Meyer",1978,"Sarasota, Fla.",S. Stevens,United States of America,-30,classical,Anonymous,The Golden Age of Augustus
UNESCO Index Translationum,,"Linné, Carl von",Select dissertations from the Amoenitates academicae,Amoenitates academicae,"Brand, F. J.",1977,New York,Arno Press,United States of America,1758,early_modern,Carl Linnaeus,Select Dissertations from Amoenitates Academicae
UNESCO Index Translationum,,"Lippius, Johannes",Synopsis of new music,Synopsis musicae novae,"Rivera, Benito V.",1977,"Colorado Springs, COLO",Colorado College Music Press,United States of America,1612,early_modern,Johannes Lippius,Synopsis of New Music
UNESCO Index Translationum,,"Lucretius Carus, Titus",De rerum natura (Libri sex),De rerum natura,"Munro, H. A. J.",1978,New York,Garland,United States of America,-55,classical,Lucretius,De Rerum Natura
UNESCO Index Translationum,,Amadeus; Bernard de Clairvaux,Magnificat: homilies in praise of the Blessed Virgin Mary,Homiliae in laudibus Virginis Matris; Homiliae octo felicis...laudibus Beatae Mariae,"Perigo, Grace; Saïd, Marie-Bernard",1979,"Kalamazoo, MICH",Cistercian Publications Inc.,United States of America,1150,medieval,Bernard of Clairvaux and Amadeus,Magnificat Homilies
UNESCO Index Translationum,,John of Salisbury,Policraticus: the statesman's book,Policraticus (abr.),"Markland, Murray F.",1979,New York,F. Ungar Pub. Co.,United States of America,1159,medieval,John of Salisbury,Policraticus
UNESCO Index Translationum,,Nicolaus Cusanus,Nicholas of Cusa on God as not-other,De li non aliud,"Hopkins, Jasper",1979,"Minneapolis, MINN",University of Minnesota Press,United States of America,1440,medieval,Nicholas of Cusa,De Non-Aliud
UNESCO Index Translationum,,"Plinius Caecilius Secundus, Caius",Pliny: a selection of his letters,Epistulae (extr.),"Greig, Clarence",1978,New York,Cambridge University Press,United States of America,100,classical,Pliny the Younger,Letters
UNESCO Index Translationum,,"Propertius, Sextus Aurelius",The &quot;Monobiblos&quot; of Propertius: an account of the first book of Propertius,,"Buttimore, R. A.; Hodge, R. I. V.",1977,"Totowa, N.J.",Rowman and Littlefield,United States of America,-15,classical,Propertius,Monobiblos
UNESCO Index Translationum,,"Ovidius Naso, Publius",Ovid's Metamorphoses: translation in blank verse,Metamorphoses,"More, Brookes",1978,"Francestown, N.H.",Marshall Jones Co.,United States of America,8,classical,Ovid,Metamorphoses
UNESCO Index Translationum,,"Ovidius Naso, Publius",Ovid,Metamorphoses,"Brewer, Wilmon; More, Brookes",1978,"Francestown, N.H.",M. Jones Co.,United States of America,8,classical,Ovid,Works
UNESCO Index Translationum,,Patricius,"St. Patrick, his writings; Muirchu's Life",,"Hood, A. B. E.",1978,"Totowa, N.J.",Rowman and Littlefield,United States of America,432,classical,Saint Patrick,Writings and Life
UNESCO Index Translationum,,Suger,Abbot Suger on the Abbey Church of St. Denis and its art treasures,,"Panofsky, Erwin",1979,"Princeton, N.J.",Princeton University Press,United States of America,1144,medieval,Abbot Suger,Abbey Church of Saint-Denis
UNESCO Index Translationum,,"Tacitus, Publius Cornelius",The annals; The histories,Annales; Historiae,"Church, Alfred John; Jackson Brodribb, William",1979,"Franklin Center, PA",Franklin Library,United States of America,117,classical,Tacitus,Annals and Histories
UNESCO Index Translationum,,Theophilus,"On divers arts: the foremost medieval treatise on painting, glassmaking, and metalwork",Diversarum artium schedula,"Hawthorne, John G.; Smith, Cyril Stanley",1979,New York,Dover Publications,United States of America,1100,medieval,Theophilus,De Diversis Artibus
UNESCO Index Translationum,,Thomas Aquinas,"On kingship, to the King of Cyprus",De regimine principum,"Eschmann, I. Th.; Phelan, Gerald B.",1979,"Westport, CONN",Hyperion Press,United States of America,1267,medieval,Thomas Aquinas,De Regno
UNESCO Index Translationum,,"Willis, Thomas",The anatomy of the brain and nerves,"Cerebri anatome, cui accessit Nervorum descriptio et usus",,1978,"Birmingham, ALA",Classics of Medicine Library,United States of America,1664,early_modern,Thomas Willis,Cerebri Anatome
UNESCO Index Translationum,,"Calvin, Jean; Biblia",The first separate edition of the Psalms of David and others; Commentaries on the Psalms,Commentarius in librum Psalmorum,"Golding, Arthur",1977,"San Francisco, CALIF",Arion Press,United States of America,1557,renaissance,Jean Calvin,Commentaries on the Psalms
UNESCO Index Translationum,,"Seay, Albert",Concerning discant,Tractatus de discantu,"Seay, Albert",1978,"Colorado Springs, COLO",Colorado College Music Press,United States of America,1475,medieval,Albert Seay (ed.),Concerning Discant
UNESCO Index Translationum,,"Tinctoris, Jean",Proportions in music,Proportionale musices,"Seay, Albert",1979,"Colorado Springs, COLO",Colorado College Music Press,United States of America,1477,medieval,Jean Tinctoris,Proportiones Musices
UNESCO Index Translationum,,"Tinctoris, Jean",Dictionary of musical terms,Terminorium musicae diffinitorium,"Parrish, Carl",1978,New York,Da Capo Press,United States of America,1495,medieval,Jean Tinctoris,Dictionary of Musical Terms
UNESCO Index Translationum,,Richard of Saint Victor,The twelve patriarchs; The mystical ark; The Trinity (Book 3),Benjamin minor,"Zinn, Grover A.",1979,New York,Paulist Press,United States of America,1162,medieval,Richard of Saint Victor,De Duodecim Patriarchis / Trinity
UNESCO Index Translationum,,"Wagenvoort, Hendrik","Studies in Roman literature, culture, and religion",,,1978,New York,Garland,United States of America,1962,modern,Hendrik Wagenvoort,"Studies in Roman Literature, Culture, and Religion"
UNESCO Index Translationum,,"Vida, Marco Girolamo, Bishop of Alba",Marco Girolamo Vida's The Christiad,Christiados libri sex,"Drake, Gertrude C.; Forbes, Clarence A.",1978,"Carbondale, ILL",Southern Illinois University Press,United States of America,1535,renaissance,Marco Girolamo Vida,Christiad
UNESCO Index Translationum,,"Vegius, Mapheus",Maphaeus Vegius and his thirteenth book of the Aeneid,,,1978,New York,Garland,United States of America,1428,medieval,Maphaeus Vegius,The Thirteenth Book of the Aeneid
UNESCO Index Translationum,,"Melanchthon, Philippus",Selected writings,,"Hill, Charles Leander",1978,"Westport, CONN",Greenwood Press,United States of America,1521,renaissance,Philippus Melanchthon,Selected Writings
UNESCO Index Translationum,,"Wallace, Malcolm William",The birthe of Hercules: with an introduction on the influence of Plautus on the dramatic literature of England in the sixteenth century,,"Slaughter, Martin",1978,"Norwood, PA",Norwood Editions,United States of America,1909,modern,Malcolm William Wallace,The Birth of Hercules
UNESCO Index Translationum,,Foucher de Chartres,Chronicle of the First Crusade,Historia Hierosolymitania,"McGinty, Martha Evelyn",1978,New York,AMS Press,United States of America,1095,medieval,Fulcher of Chartres,Historia Hierosolymitana
UNESCO Index Translationum,,Bartolus de Saxoferrato,Bartolus on the conflict of laws,,"Beale, Joseph Henry",1979,"Westport, CONN",Hyperion Press,United States of America,1355,medieval,Bartolus of Sassoferrato,On the Conflict of Laws
UNESCO Index Translationum,,"Council of Trent, 1545-1563",Canons and decrees of the Council of Trent,Canones et decreta,"Schroeder, Henry Joseph",1978,"Rockford, ILL",TAN Books and Publishers,United States of America,1563,renaissance,Council of Trent,Canons and Decrees
UNESCO Index Translationum,,"Champlin, Joseph M.; International Commission on English in the Liturgy","Through death to life: preparing to celebrate the mass of Christian burial, etc.",,,1979,"Notre Dame, IND",Ave Maria Press,United States of America,1985,modern,Joseph M. Champlin,Through Death to Life
UNESCO Index Translationum,,"Israeli, Isaac","Isaac Israeli, a Neoplatonic philosopher of the early tenth century",,"Altmann, Alexander; Stern, Samuel Miklos",1979,"Westport, CONN",Greenwood Press,United States of America,920,medieval,Isaac Israeli,Neoplatonic Philosophy
UNESCO Index Translationum,,"Ker, John; Malloch, David",Donaides; A poem in imitations of Donaides,"Donaides; sive, Musarum aberdonensium de eximia Jacobi Fraserii, etc.","Dunham, Barrows",1978,"Los Angeles, CALIF","William Andrews Clark Memorial Library, University of California",United States of America,1773,early_modern,John Ker and David Malloch,Donaides
UNESCO Index Translationum,,Ardo,The emperor's monk: contemporary life of Benedict of Aniane,,"Cabaniss, Allen",1979,Ilfracombe,Stockwell,United Kingdom,821,medieval,Ardo,Vita Benedicti of Aniane
UNESCO Index Translationum,,"Davenport, Basil",The portable Roman reader,,,1979,Harmondsworth,Penguin,United Kingdom,1957,modern,Basil Davenport (ed.),The Portable Roman Reader
UNESCO Index Translationum,,Joannes Paulus II,Message of His Holiness Pope John Paul II for the celebration of the Day of Peace,Nuntius Ioannis Pauli PP. II de celebrando die Pacis,,1979,Citt&#224; del Vaticano,Libreria editrice vaticana,Holy See,1985,modern,Pope John Paul II,Message for Day of Peace
UNESCO Index Translationum,,Joannes Paulus II,Encyclical &quot;Redemptor Hominis&quot;,Litterae Encyclicae Ioannis Pauli PP. II &quot;Redemptor Hominis&quot;,,1979,Citt&#224; del Vaticano,Libreria editrice vaticana,Holy See,1979,modern,Pope John Paul II,Redemptor Hominis
UNESCO Index Translationum,,Joannes Paulus II,Apostolic Exhortation &quot;Catechesi Tradendae&quot;,Adhortatio Apostolica &quot;Catechesi Tradendae&quot;,,1979,Citt&#224; del Vaticano,Libreria editrice vaticana,Holy See,1979,modern,Pope John Paul II,Catechesi Tradendae
UNESCO Index Translationum,,Sacra Congregatio pro Doctrina Fidei,Sacred Congregation for the doctrine of the faith: letter on certain questions concerning Eschatology,Epistula de quibusdam quaestionibus ad Eschatologiam spectantibus,,1979,Citt&#224; del Vaticano,Libreria editrice vaticana,Holy See,1979,modern,Sacred Congregation for the Doctrine of the Faith,Letter on Eschatology
UNESCO Index Translationum,,"Lipsius, Justus",A direction for travailers,Epistola de peregrinatione italica,,1977,Amsterdam,Theatrum Orbis Terrarum,Netherlands,1592,early_modern,Justus Lipsius,Principles of Letter Writing
UNESCO Index Translationum,,Paulinus a Sancto Bartholomaeo,Dissertation on the Sanskrit language,"Dissertatio historico-critica in linguam samscrdamicam [=introduction to: Sidharubam seu grammatica samscrdamica] Romae, 1790","Rocher, Ludo",1977,Amsterdam,Benjamins,Netherlands,1785,early_modern,Paulinus a Sancto Bartholomaeo,Dissertation on the Sanskrit Language
UNESCO Index Translationum,,"Abélard, Pierre","A dialogue of a philosopher with a Jew, and a Christian","Dialogus inter philosophorum, iudaeum et christianum","Payer, Pierre J.",1979,Toronto,Pontificial Institute of Mediaeval Studies,Canada,1140,medieval,Pierre Abélard,Dialogus: A Dialogue of a Philosopher with a Jew and a Christian
UNESCO Index Translationum,,"Heytesbury, William",On insoluble sentences: chapter one of his Rules for solving problems,Regulae solvendi sophismata (extr.),"Spade, Paul Vincent",1979,Toronto,Pontificial Institute of Mediaeval Studies,Canada,1335,medieval,William Heytesbury,Regulae solvendi sophismata (Rules for Solving Sophisms)
UNESCO Index Translationum,,Catholica Romana Ecclesia,"Apostolic exhortation &quot;Catechesi tradendae&quot; of His Holiness Pope John Paul II to the episcopate, the clergy and the faithful to the entire Catholic Church on catechesis in our time",Catechesi tradendae,,1979,Ottawa,Canadian Conference of the Catholic Bishops,Canada,1979,modern,Ioannes Paulus II,Catechesi tradendae (Apostolic Exhortation on Catechesis)
UNESCO Index Translationum,,Catholica Romana Ecclesia,Letter of the Supreme Pontiff Pope John Paul II to all the bishops of the Church on the mystery and worship of the Holy Eucharist,,,1980,Ottawa,Canadian Conference of Catholic Bishops,Canada,1980,modern,Ioannes Paulus II,Mysterium fidei (Letter on the Holy Eucharist)
UNESCO Index Translationum,,Catholica Romana Ecclesia,The role of the Christian family in the modern world: for the use of the episcopal conference...,De muneribus familiae christianae in mundo hodierno,,1979,Ottawa,Canadian Conference of Catholic Bishops,Canada,1981,modern,Ioannes Paulus II,Familiaris consortio (Apostolic Exhortation on the Family)
UNESCO Index Translationum,,"Yerkes, David",The two versions of Waeferth's translation of Gregory's Dialogues: an Old English thesaurus,Dialogi de vita,"Waeferth, Bishop of Worcester",1979,Toronto,Centre for Mediaeval Studies,Canada,900,medieval,Waeferth,Old English Translation of Gregory the Great's Dialogues
UNESCO Index Translationum,,Marsilio da Padova,The Defender of Peace,Defensor pacis,"Gewirth, Alan",1980,Toronto,University of Toronto Press,Canada,1324,medieval,Marsilius of Padua,Defensor pacis (The Defender of Peace)
UNESCO Index Translationum,,"Ailly, Pierre d'; Spade, Paul Vincent","Peter of Ailly, Concepts and Insolubles: an annotated translation",Conceptus; Insolubilia,"Spade, Paul Vincent",1980,"Boston, MASS",D. Reidel Pub. Co.,United States of America,1380,medieval,Peter of Ailly,Concepts and Insolubles
UNESCO Index Translationum,,"Descartes, René",Discourse on method; Meditations on first philosphy,Discours de la méthode; Meditationes de prima philosophia,"Cress, Donald A.",1980,"Indianapolis, IND",Hackett,United States of America,1637,early_modern,René Descartes,Discourse on Method and Meditations on First Philosophy
UNESCO Index Translationum,,William of Ockham,Ockham's theory of propositions (pt 2) of the Summa logicae,,"Freddoso, Alfred J.; Schuurman, Henry",1980,"Notre Dame, IND",University of Notre Dame Press,United States of America,1323,medieval,William of Ockham,Summa logicae (Part 2: Propositions)
UNESCO Index Translationum,,"Vives, Juan Luis","Juan Luis Vives against the pseudodialecticians: a humanist attack on medieval logic: the Attack of the pseudialecticians; On dialectic, book III, v, vi, vii, from The causes of the corruption of the arts",Adversus pseudodialecticos,"Guerlac, Rita",1979,"Boston, MASS",D. Reidel Pub. Co.,United States of America,1531,renaissance,Juan Luis Vives,De causis corruptarum artium (Against the Pseudodialecticians)
UNESCO Index Translationum,,"Dawson, Christopher Henry",The Mongol mission: narratives and letters of the Franciscan missionaries in Mongolia and China in the thirteenth and fourteenth centuries,,Nun of Stanbrook Abbey,1980,New York,AMS Press,United States of America,1290,medieval,Various Franciscan Missionaries,Mongol Mission Chronicles (13th-14th centuries)
UNESCO Index Translationum,,"Luther, Martin; Der Franckforter",The Theologia Germanica of Martin Luther,Theologia deutsch,"Hoffman, Bengt",1980,New York,Paulist Press,United States of America,1518,renaissance,Martin Luther,Theologia Germanica (translation/commentary)
