pub_year,record_type,confidence,identifier,title,creator,publisher,subject,language,ia_url,description,collection
1919,bilingual_edition,100,epigramswithengl02mart,"Epigrams, with an English translation",Martial,"London, W. Heinemann; New York, G.P. Putnam's Sons",Epigrams,eng; lat,https://archive.org/details/epigramswithengl02mart,"At head of title: Martial; Latin and English on opposite pages; Bibliography: v. 1, p. xix-xxii; 2 v. 17 cm",internetarchivebooks; fav-chapalan; fav-jm15xy; fav-knownlandadmin; fav-mgabrieli; fav-ramap; fav-rskurat
1920,bilingual_edition,100,institutioorator0003quin_i5u8,The institutio oratoria of Quintilian,Quintilian,"Cambridge, Mass. : Harvard University Press ; London : Heinemann",,eng; lat,https://archive.org/details/institutioorator0003quin_i5u8,"4 v. ; 17 cm; Latin and English on opposite pages; Bibliography: v. 1, p. xi-xiii; Includes indexes",internetarchivebooks
1920,bilingual_edition,100,institutioorator0002quin_n9w4,The institutio oratoria of Quintilian,Quintilian,"Cambridge, Mass. : Harvard University Press ; London : Heinemann",,eng; lat,https://archive.org/details/institutioorator0002quin_n9w4,"4 v. ; 17 cm; Latin and English on opposite pages; Bibliography: v. 1, p. xi-xiii; Includes indexes",internetarchivebooks
1920,bilingual_edition,100,institutioorator0001quin_x7w8,The institutio oratoria of Quintilian,Quintilian,"Cambridge, Mass. : Harvard University Press ; London : Heinemann",,eng; lat,https://archive.org/details/institutioorator0001quin_x7w8,"4 v. ; 17 cm; Latin and English on opposite pages; Bibliography: v. 1, p. xi-xiii; Includes indexes",internetarchivebooks; fav-daurmanasyam
1920,bilingual_edition,100,suetonius00rolfgoog,Suetonius,"Suetonius, approximately 69-approximately 122",London : W. Heinemann ; New York : Putnam,"Emperors -- Rome -- Biography; Authors, Latin -- Biography; Authors, Latin; Emperors; Rome (Empire)",eng,https://archive.org/details/suetonius00rolfgoog,"Book digitized by Google and uploaded to the Internet Archive by user tpb.; volumes : 17 cm; Latin and English on opposite pages; ""The translation of the Lives of the Caesars is based upon the text of Maximillan Ihm. Leipzig, 1907 (editio minor, 1900)""--Preface; ""First printed 1914; reprinted 1920.""; Includes bibliographical references and index; I. Preface. The life and works of Suetonius. The lives of the Caesars, books I-IV.--II. The lives of the Caesars, books V-VIII. The lives of illustrious men",americana; fav-jeison_coronel; fav-loebelyphd
1920,bilingual_edition,100,suetonius01rolfgoog,Suetonius,"Suetonius, approximately 69-approximately 122",London : W. Heinemann ; New York : Putnam,"Emperors -- Rome -- Biography; Authors, Latin -- Biography; Authors, Latin; Emperors; Rome (Empire)",eng,https://archive.org/details/suetonius01rolfgoog,"Book digitized by Google and uploaded to the Internet Archive by user tpb.; volumes : 17 cm; Latin and English on opposite pages; ""The translation of the Lives of the Caesars is based upon the text of Maximillan Ihm. Leipzig, 1907 (editio minor, 1900)""--Preface; ""First printed 1914; reprinted 1920.""; Includes bibliographical references and index; I. Preface. The life and works of Suetonius. The lives of the Caesars, books I-IV.--II. The lives of the Caesars, books V-VIII. The lives of illustrious men",americana; fav-ficklerobot; fav-kassandra_hart; fav-steve518855
1920,bilingual_edition,100,dialogusagricola0000taci_n3b1,Dialogus ; Agricola ; Germania,"Tacitus, Cornelius",London : W. Heinemann ; New York : G.P. Putnam's Sons,"Tacitus, Cornelius -- Translations into English; Agricola, Gnaeus Julius, 40-93; Tacitus, Cornelius; Statemen -- Rome -- Biography; Oratory, Ancient; Great Britain -- History -- Roman period, 55 B.C.-449 A.D; Germany -- History -- To 843; Germany; Great Britain; Rome (Empire)",lat,https://archive.org/details/dialogusagricola0000taci_n3b1,"v, 371, [1] pages, 2 unnumbered leaves of plates : 17 cm; Latin and English on opposite pages; The Dialogus translated by William Peterson; Agricola and Germania, by Maurice Hutton; Bibliographies: pages 13-15, 161-162, 262",claremont_school_of_theology; internetarchivebooks; fav-aru13; fav-freekm; fav-j_correia; fav-samhollister
1922,bilingual_edition,100,claudia02clau,Claudian,"Claudianus, Claudius; Platnauer, Maurice","Cambridge, Mass. : Harvard University Press ; London : W. Heinemann","Claudianus, Claudius",eng; lat,https://archive.org/details/claudia02clau,2 v. ; 17 cm. Latin and English on opposite pages.,rutgersuniversitylibraries; americana; fav-egopro; fav-korrent; fav-lindakb759
1922,translation,100,virgil0000virg_p9g0,Virgil,Virgil,"London, W. Heinemann; New York, G.P. Putnam's Sons","Virgil -- Translations into English; Aeneas (Legendary character) -- Poetry; Virgil; Aeneas (Legendary character); Pastoral poetry, Latin -- Translations into English; Didactic poetry, Latin -- Translations into English; Epic poetry, Latin -- Translations into English; Country life -- Poetry; Agriculture -- Poetry; Agriculture; Country life; Didactic poetry, Latin; Epic poetry, Latin; Pastoral poetry, Latin",eng; lat,https://archive.org/details/virgil0000virg_p9g0,"volumes 17 cm; ""First printed 1916; reprinted ... 1922.""; ""Manuscripts"": v. 1, p. xi-xii. ""Editions and commentaries"": v. 1, p. xiii-xiv; I. Eclogues. Georgics. Aeneid I-VI; v. 1. Ecologues ; Georgics ; Aeneid I-VI -- v. 2. Aeneid, VII-XII ; Minor poems ; Appendix Vergiliana",claremont_school_of_theology; internetarchivebooks; fav-aru13; fav-athanatios; fav-ivanovich24; fav-jahanzeb_shah; fav-kitlightning
1922,translation,100,virgil0002virg_q3w8,Virgil,Virgil,"London, W. Heinemann; New York, G.P. Putnam's Sons","Virgil -- Translations into English; Aeneas (Legendary character) -- Poetry; Virgil; Aeneas (Legendary character); Pastoral poetry, Latin -- Translations into English; Didactic poetry, Latin -- Translations into English; Epic poetry, Latin -- Translations into English; Country life -- Poetry; Agriculture -- Poetry; Agriculture; Country life; Didactic poetry, Latin; Epic poetry, Latin; Pastoral poetry, Latin",eng; lat,https://archive.org/details/virgil0002virg_q3w8,"volumes 17 cm; ""First printed 1916; reprinted ... 1922.""; ""Manuscripts"": v. 1, p. xi-xii. ""Editions and commentaries"": v. 1, p. xiii-xiv; I. Eclogues. Georgics. Aeneid I-VI; v. 1. Ecologues ; Georgics ; Aeneid I-VI -- v. 2. Aeneid, VII-XII ; Minor poems ; Appendix Vergiliana",claremont_school_of_theology; internetarchivebooks; fav-aru13; fav-jahanzeb_shah; fav-masonwards66
1923,bilingual_edition,100,speecheswithengl0000cice_v6j4,"The speeches, with an English translation. Pro Archia poeta--Post reditum in senatu--Post reditum ad quirites--De domo sua--De haruspicum responsis--Pro Plancio","Cicero, Marcus Tullius","London, W. Heinemann; New York, G.P. Putnam's Sons","Speeches, addresses, etc., Latin -- Translations into English; Speeches, addresses, etc., Latin",eng; lat,https://archive.org/details/speecheswithengl0000cice_v6j4,"vii, 550 pages, 1 leaf 17 cm; At head of title: Cicero; Pro Archia poeta--Post reditum in senatu--Post reditum ad quirites--De domo sua--De haruspicum responsis--Pro Plancio",claremont_school_of_theology; internetarchivebooks; fav-apollonio; fav-aru13; fav-chapalan; fav-e_blackadder; fav-hawkseked222; fav-melanie_mcmahon; fav-olivia_dinardo; fav-winedsea
1926,bilingual_edition,100,philippics0015cice,Philippics,"Cicero, Marcus Tullius","Cambridge, Mass. : Harvard University Press",,eng; lat,https://archive.org/details/philippics0015cice,"xii, 655 p. ; 17 cm; Latin and English on opposite pages",internetarchivebooks; fav-chapalan
1926,bilingual_edition,100,philippicswithen0015cice,Philippics : with an English translation,"Cicero, Marcus Tullius","Cambridge, Mass. : Harvard University Press","Speeches, addresses, etc., Latin -- Translations into English; Speeches, addresses, etc., Latin",eng; lat,https://archive.org/details/philippicswithen0015cice,"xii, 655, [1] pages ; 17 cm; At head of title: Cicero; Latin and English on opposite pages",internetarchivebooks; fav-chapalan; fav-egopro2; fav-hanny856; fav-jantteeri; fav-lindakb759; fav-pjconcierge; fav-user_23816
1926,bilingual_edition,100,cicero0000unse_z7p5,"Philippics, with an English translation","Cicero, Marcus Tullius","London, W. Heinemann; New York, G.P. Putnam's Sons",Roman law,eng; lat,https://archive.org/details/cicero0000unse_z7p5,"xii, 655, [1] pages 17 cm; At head of title: Cicero; Latin and English on opposite pages; Includes bibliographical references and index",marygrovecollege; internetarchivebooks; americana; fav-boulder_rockets; fav-philoalphabet; fav-shmhz72
1927,bilingual_edition,100,speechesprolegem0000cice,"The speeches: pro lege Manilia, pro Caecina, pro Cluentio, pro Rabirio perduellionis","Cicero, Marcus Tullius","London : W. Heinemann, ltd.; New York : G.P. Putnam's Sons","Rabirius Postumus, Gaius; Speeches, addresses, etc., Latin -- Translations into English",eng,https://archive.org/details/speechesprolegem0000cice,"xii, 495, [1] p. ; 17 cm; At head of title: Cicero; Latin and English on opposite pages",internetarchivebooks; fav-jwh11; fav-nik4o7
1928,bilingual_edition,100,derepublicadeleg0000cice_k7o1,De re publica : De legibus,"Cicero, Marcus Tullius","Cambridge, Mass. : Harvard University Press",,eng; lat,https://archive.org/details/derepublicadeleg0000cice_k7o1,"v, 533, [1] p. ; 17 cm; Latin and English on opposite pages",internetarchivebooks
1928,bilingual_edition,100,derepublicadeleg0000cice,"De re publica, De legibus","Cicero, Marcus Tullius","Cambridge, Mass., Harvard University Press; London, Heinemann",Political science -- Early works to 1800; Law -- Early works to 1800; Law; Political science,eng; lat,https://archive.org/details/derepublicadeleg0000cice,533 pages 17 cm; At head of title: Cicero; Latin and English on opposite pages; Includes bibliographical references and index,marygrovecollege; internetarchivebooks; americana; fav-25jedgar; fav-ahmed_bousnina175; fav-alexlambert07; fav-anselmo_rhoades; fav-archiveuser5641bxtp; fav-beefcakebaf; fav-benjamin1940; fav-cheeseman1082; fav-d_konden; fav-daniel_ds; fav-egopro; fav-gleb_guldyashev; fav-jythong; fav-mason_o; fav-matthewsmith1372; fav-mona_simona; fav-nael_chami; fav-paronymius; fav-philoalphabet; fav-quatermain; fav-ravendon; fav-reydelson_capanzana; fav-rkahramanyol; fav-sulla80; fav-theothedestroye; ambslibrary-ol; johnshopkins-ol; marymount-ol; rochester-ol; the-claremont-colleges-ol; tulsacc-ol; universityofoklahoma-ol
1928,bilingual_edition,100,lucanwithenglish0000luca,"Lucan, with an English translation","Lucan, 39-65","Cambridge, Mass., Harvard Univ. Press; London, W. Heinemann","Civil War (Rome : 49-45 B.C.); Pharsalus, Battle of (Farsala, Greece : 48 B.C.); Pharsalus, Battle of, Farsala, Greece, 48 B.C; Rome -- History -- Civil War, 49-45 B.C; Greece -- Farsala; Rome (Empire)",eng; lat,https://archive.org/details/lucanwithenglish0000luca,"xv, 637 pages 17 cm; Latin and English on opposite pages",marygrovecollege; internetarchivebooks; americana; fav-akio3; fav-davidescu_magdalena673; fav-egopro; fav-eohlson; fav-folksinger_; fav-muteevery; fav-philoalphabet; fav-t_anderson_777
1929,bilingual_edition,100,luciusannaeusflo0000unse,"Lucius Annaeus Florus, Epitome of Roman history. Cornelius Nepos","Florus, Lucius Annaeus","Cambridge, Mass., Harvard University Press, London, William Heinemann","Rome -- History -- Republic, 510-30 B.C; Rome (Empire)",eng; lat,https://archive.org/details/luciusannaeusflo0000unse,"xv, 743, [1] pages 17 cm; ""First printed, 1929.""; Latin and English on opposite pages; English translation of Florus by E.S. Forster: of Nepos by J.C. Rolfe; Includes bibliographical references (page xv)",marygrovecollege; internetarchivebooks; americana; fav-erivaldo_gabriel; fav-julia_adriana_l_pez_revellado; fav-loebelyphd
1929,bilingual_edition,100,satiresepistlesa0000hora_j5b5,"Satires, Epistles and Ars poetica",Horace,"Cambridge, Mass. : Harvard University Press","Horace -- Translations into English; Epistolary poetry, Latin -- Translations into English; Verse satire, Latin -- Translations into English; Didactic poetry, Latin -- Translations into English; Poetics -- Poetry; Aesthetics, Ancient -- Poetry; Rome -- Poetry",eng; lat,https://archive.org/details/satiresepistlesa0000hora_j5b5,"xxx, 508 p. ; 17 cm; Latin and English on opposite pages; Bibliography: p. xxviii-xxx",internetarchivebooks
1929,bilingual_edition,100,satiresepistlesa0000hora_d5w2,"Satires, Epistles and Ars poetica",Horace,"Cambridge, Mass. : Harvard University Press","Horace -- Translations into English; Epistolary poetry, Latin -- Translations into English; Verse satire, Latin -- Translations into English; Didactic poetry, Latin -- Translations into English; Poetics -- Poetry; Aesthetics, Ancient -- Poetry; Rome -- Poetry",eng; lat,https://archive.org/details/satiresepistlesa0000hora_d5w2,"xxx, 508 p. ; 17 cm; Latin and English on opposite pages; Bibliography: p. xxviii-xxx",internetarchivebooks; fav-abhishek_gautam332; fav-antonyliber; fav-chapalan; fav-cunchi; fav-e_blackadder; fav-jbmcgehee3; fav-mastermind93; fav-wim_verbeeck
1929,bilingual_edition,100,propertiuswithan0000unse,Propertius,"Propertius, Sextus",London : W. Heinemann ; New York : G.P. Putnam's Sons,"Elegiac poetry, Latin -- Translations into English; Love poetry, Latin -- Translations into English; Elegiac poetry, Latin; Love poetry, Latin",eng; lat,https://archive.org/details/propertiuswithan0000unse,"xvi, 362 pages ; 17 cm; Prospectus of ""Loeb classical library"" prefixed, signed Munich, September 1, 1912, James Loeb (vii p.); ""Bibliographical note"": pages xv-xvi",marygrovecollege; internetarchivebooks; americana; fav-alandia; fav-chapalan; fav-osvaldorivfl1996; fav-pursuerofknowledge
1930,bilingual_edition,100,baedaeoperahisto0001bede_p0k9,"Baedae Opera historica, with an English translation","Bede, the Venerable, Saint, 673-735",London : W. Heinemann; New York : Putnam,Abbots; Abbots -- England -- Biography; Great Britain -- Church history -- 449-1066; Great Britain -- Church history -- Anglo-Saxon period,eng; lat,https://archive.org/details/baedaeoperahisto0001bede_p0k9,"2 v. : 17 cm; I. Ecclesiastical history of the English nation, based on the version of Thomas Stapleton, 1565, books I-III. II. Ecclesiastical history of the English nation, books IV and V. Lives of the abbots. Letter to Egbert",internetarchivebooks
1930,bilingual_edition,100,baedaeoperahisto0000bede_t4l9,Baedae Opera historica : with an English translation,"Bede, the Venerable, Saint, 673-735, author","Cambridge, Massachusetts : Harvard University Press ; London : William Heinemann Ltd","Bede, the Venerable, Saint, 673-735; Abbots -- Great Britain -- Biography; Abbots; Great Britain -- Church history -- 449-1066; Great Britain; Great Britain -- Church history -- Anglo-Saxon period, 449-1066 -- Sources",eng; lat,https://archive.org/details/baedaeoperahisto0000bede_t4l9,"2 volumes : 17 cm; Title on half title page: Bede historical works; Volume 1. reprinted 1954, 1962 and volume 2. reprinted 1954, 1963; Parallel text in Latin and English; I. Ecclesiastical history of the English nation, based on the version of Thomas Stapleton, 1565, books I-III--II. Ecclesiastical history of the English nation, books IV and V. Lives of the abbots. Letter to Egbert",internetarchivebooks; fav-egopro2; fav-lisa_nicholas_ph_d; brynmawr-ol; gwulibraries-ol; johnshopkins-ol; universityofoklahoma-ol
1930,bilingual_edition,100,operahistoric02bedeuoft,Opera historica,"Bede, the Venerable, Saint, 673-735; Stapleton, Thomas, 1535-1598; King, J. E. (John Edward), 1858-1939","London : W. Heinemann ltd. ; Cambridge, Mass. : Harvard University Press",Church history; Abbots,eng; lat,https://archive.org/details/operahistoric02bedeuoft,"Latin and English texts on opposite pages; I. Ecclesiastical history of the English nation, based on the version of Thomas Stapleton, 1565, books I-III -- II. Ecclesiastical history of the English nation, books IV and V ; Lives of the abbots ; Letter to Egbert; 31",kellylibrary; toronto; university_of_toronto; fav-alib; fav-lostokie; fav-yusuf_en
